Unnamed: 0,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,ID
4,0,male,37.0,10.0,no,3,18,7,4,1
5,0,female,27.0,4.0,no,4,14,6,4,2
11,0,female,32.0,15.0,yes,1,12,1,4,3
16,0,male,57.0,15.0,yes,5,18,6,5,4
23,0,male,22.0,0.75,no,2,17,6,3,5
29,0,female,32.0,1.5,no,2,17,5,5,6
44,0,female,22.0,0.75,no,2,12,1,3,7
45,0,male,57.0,15.0,yes,2,14,4,4,8
47,0,female,32.0,15.0,yes,4,16,1,2,9
49,0,male,22.0,1.5,no,4,14,4,5,10
50,0,male,37.0,15.0,yes,2,20,7,2,11
55,0,male,27.0,4.0,yes,4,18,6,4,12
64,0,male,47.0,15.0,yes,5,17,6,4,13
80,0,female,22.0,1.5,no,2,17,5,4,14
86,0,female,27.0,4.0,no,4,14,5,4,15
93,0,female,37.0,15.0,yes,1,17,5,5,16
108,0,female,37.0,15.0,yes,2,18,4,3,17
114,0,female,22.0,0.75,no,3,16,5,4,18
115,0,female,22.0,1.5,no,2,16,5,5,19
116,0,female,27.0,10.0,yes,2,14,1,5,20
123,0,female,22.0,1.5,no,2,16,5,5,21
127,0,female,22.0,1.5,no,2,16,5,5,22
129,0,female,27.0,10.0,yes,4,16,5,4,23
134,0,female,32.0,10.0,yes,3,14,1,5,24
137,0,male,37.0,4.0,yes,2,20,6,4,25
139,0,female,22.0,1.5,no,2,18,5,5,26
147,0,female,27.0,7.0,no,4,16,1,5,27
151,0,male,42.0,15.0,yes,5,20,6,4,28
153,0,male,27.0,4.0,yes,3,16,5,5,29
155,0,female,27.0,4.0,yes,3,17,5,4,30
162,0,male,42.0,15.0,yes,4,20,6,3,31
163,0,female,22.0,1.5,no,3,16,5,5,32
165,0,male,27.0,0.417,no,4,17,6,4,33
168,0,female,42.0,15.0,yes,5,14,5,4,34
170,0,male,32.0,4.0,yes,1,18,6,4,35
172,0,female,22.0,1.5,no,4,16,5,3,36
184,0,female,42.0,15.0,yes,3,12,1,4,37
187,0,female,22.0,4.0,no,4,17,5,5,38
192,0,male,22.0,1.5,yes,1,14,3,5,39
194,0,female,22.0,0.75,no,3,16,1,5,40
210,0,male,32.0,10.0,yes,5,20,6,5,41
217,0,male,52.0,15.0,yes,5,18,6,3,42
220,0,female,22.0,0.417,no,5,14,1,4,43
224,0,female,27.0,4.0,yes,2,18,6,1,44
227,0,female,32.0,7.0,yes,5,17,5,3,45
228,0,male,22.0,4.0,no,3,16,5,5,46
239,0,female,27.0,7.0,yes,4,18,6,5,47
241,0,female,42.0,15.0,yes,2,18,5,4,48
245,0,male,27.0,1.5,yes,4,16,3,5,49
249,0,male,42.0,15.0,yes,2,20,6,4,50
262,0,female,22.0,0.75,no,5,14,3,5,51
265,0,male,32.0,7.0,yes,2,20,6,4,52
